W,Frequence,Mut,Freedom_L,Freedom_R,mark
双厨狂喜,3249,10.8,4.797,6.26,0
懵逼,3247,5.5,4.988,5.286,0
老公你,3242,10.4,3.311,2.851,0
波澜波澜,3234,11.5,5.247,4.039,0
氪金,3226,6.7,3.763,2.758,1
一一一一,3223,5.3,4.607,4.024,0
的东西,3219,5.6,5.278,6.256,0
哈哈哈哈你,3216,7.8,2.735,5.292,0
投币了,3212,7.5,4.816,6.686,0
路人,3209,5.4,3.412,5.548,0
lbwnb土块,3198,8.6,4.231,4.06,0
的兄弟,3193,5,2.453,4.869,0
了许愿,3188,6.7,5.347,5.258,0
参上,3162,6.4,4.294,3,0
中国中国,3156,8.9,3.542,3.079,0
口吐芬芳,3123,9.1,6.29,6.679,1
哈哈哈厉害,3112,7.8,4.89,2.777,0
糊涂啊,3108,10.7,2.316,5.608,0
中考加油,3101,7.9,5.43,6.212,0
吴亦凡进来,3098,10.9,5.684,2.719,0
意大利炮,3097,8,3.221,2.797,1
厄运走开,3049,17.1,4.247,5.337,0
厚葬友军,3048,13.7,4.057,6.064,1
中学你,3039,7.6,5.983,3.119,0
嘟嘟嘟,3036,8.9,4.698,3.918,0
吾辈楷模,3026,13.2,4.711,5.31,1
开始吟唱,3010,11.9,5.415,6.264,1
牛批牛批,3008,6.9,4.464,6.195,0
参见猫王,2996,7.6,4.443,4.989,0
万合影,2994,10,4.303,4.888,0
高考加油,2980,8.8,5.569,5.903,0
哈哈哈哈泪目,2976,7.8,2.258,6.478,0
哈哈哈魔鬼,2973,7.8,4.546,4.947,0
琴魔,2971,8.9,2.881,5.092,1
预警前方,2961,17.3,2.659,3.484,0
灵堂歌姬,2957,13.7,4.438,5.786,1
什么时候,2956,10.6,4.874,5.852,0
这弹幕,2951,5.7,5.722,5.742,0
蜜汁好听,2949,10.9,5.883,6.489,0
谢谢你,2941,12.8,4.673,5.231,0
祖师爷拜见,2936,11.4,3.05,3.027,0
离谱哈哈哈,2921,11.7,3.684,4.334,0
坐飞机乌鸦,2913,9.3,2.5,2.42,0
叽叽叽叽,2911,15.2,4.81,4.547,0
拿去,2909,5,3.261,5.455,0
过分了,2894,7.2,4.59,4.565,0
的石灰,2885,5.5,3.762,4.684,0
好厉害,2864,9.4,4.994,4.709,0
啊卧槽,2854,5.7,4.524,5.675,0
哈哈哈有,2835,7.7,4.676,3.822,0
洗脑了,2832,11.7,2.898,6.328,0
知道我,2820,10.9,2.629,3.392,0
哈哈哈彳亍,2816,7.7,3.907,6.199,0
魔鬼魔鬼,2803,7.3,5.326,5.146,0
UP主,2801,11.7,5.358,2.699,1
妈妈妈妈,2769,7.5,4.423,4.297,0
永远的,2767,12,4.554,2.553,0
儒雅随和,2764,15.1,6.054,6.063,0
变色了,2764,9.4,2.571,4.958,0
舒服了,2764,13.7,5.032,6.618,0
中国人,2752,8.7,2.695,4.671,1
舔狗,2747,7.8,4.303,5.485,1
起飞起飞,2747,7.8,4.817,5.236,0
弹幕我,2735,11.8,3.29,4.786,0
为什么要,2735,10.4,4.417,5.91,0
哈哈哈离谱,2734,7.7,2.735,4.978,0
抖腿,2733,8.5,4.045,5.687,1
忘记原唱,2732,10.5,5.104,4.805,0
上海zoo,2712,7.6,4.474,4.911,0
阿里阿里,2699,5.2,4.657,4.647,0
噗哈哈哈哈,2684,7.4,5.354,2.808,0
汪汪汪汪,2666,13.1,4.013,3.089,0
魔鬼啊,2664,7.3,5.16,5.961,0
天空的,2664,9.4,2.12,2.419,0
绝地大科学家,2644,7.5,4.316,4.302,0
新宝岛,2643,9.5,4.913,5.434,1
全程高能,2643,12,5.528,6.19,1
退出了,2638,7.6,3.611,4.434,0
肖战肖战,2630,12.2,3.811,3.877,1
填词百万,2625,10.8,4.107,4.625,1
皮皮皮皮,2620,9.3,3.214,2.401,0
老师好,2615,8.3,3.779,5.561,0
大仙大仙,2613,7,4.32,5.018,0
冲鸭,2613,7.5,3.873,5.104,1
春风春风,2599,12.7,3.077,2.826,0
杨超越,2592,8.8,5.133,2.972,1
是怎么,2588,6.4,2.968,4.674,0
刘明要素,2571,9.4,2.522,2.683,0
啊丞相,2566,8.8,3.756,4.096,0
泪目你,2565,7.9,4.225,5.393,0
泪目这,2565,7.9,3.963,2.856,0
来考古,2563,5.1,4.065,5.51,0
坏女人,2563,8.6,4.188,4.09,0
清泉流响,2547,14.1,4.338,5.708,1
哎呦,2547,6.7,5.566,3.213,0
巴拉巴拉,2544,9.1,4.51,4.041,0
哈哈哈每天,2538,7.6,4.144,3.699,0
哇哦,2536,5,4.703,5.84,0
字幕君,2535,10.4,5.331,4.688,1
打call,2523,6.6,5.231,5.503,1
初音初音,2514,11.1,4.661,4.654,0
高能哈哈哈哈,2509,6.2,4.794,2.62,0
荣耀之剑,2506,17.4,4.33,4.008,1
的旋律,2505,7.9,4.035,5.436,0
许愿万世,2496,11.9,5.434,3.023,1
绿绿绿绿,2495,7,3.283,2.708,0
BGM是,2495,8.1,5.604,2.09,0
悠悠苍天,2489,19.7,3.832,3.427,0
最喜欢,2489,9.9,2.964,2.648,0
呵呵哈哈哈哈,2487,8.4,3.381,5.159,0
英文字幕,2485,13,5.123,5.63,0
吴亦凡对不起,2483,10.7,4.878,5.275,0
必来还愿,2474,5.2,3.633,4.614,0
告诉我,2470,18.3,4.258,4.328,0
每天都,2462,8.7,4.726,3.751,0
我现在,2460,5.5,5.641,5.137,0
这填词,2460,6.7,4.83,5.003,0
诶嘿嘿,2446,6.2,5.008,2.576,0
黄磊老师,2440,12.9,5.479,5.3,0
呜呜呜,2437,9.2,4.361,4.679,0
许愿清泉,2436,11.9,5.383,4.165,0
阿巴阿巴,2430,7.4,5.153,5.736,0
哈哈哈哈害怕,2420,7.6,2.356,5.936,0
加油泪目,2418,11,4.44,5.903,0
呵呵红红火火,2415,8.4,5.789,5.522,0
阿婆主,2413,10.4,5.008,2.554,0
熟悉的,2400,18.4,4.054,3.961,0
哈哈哈还,2398,7.5,4.791,4.742,0
战术换气,2386,12,5.595,6.325,0
亿万调音师,2382,7.2,5.667,6.337,0
哈哈哈up,2375,7.5,4.488,3.109,0
哈哈哈我要,2374,7.5,3.987,3.05,0
giao哥,2370,10,3.754,4.798,1
首页通知书,2370,15.8,5.28,6.257,1
疯狂踩点,2363,8.7,5.591,6.268,0
天籁之音,2361,14.6,4.962,5.609,1
了欢迎,2357,7.1,5.93,4.021,0
刘明妙啊,2354,9.3,2.722,5.252,0
什么都,2347,10.4,5.26,4.447,0
氤氲之息,2346,21.4,4.266,5.367,1
超神超神,2344,7.6,4.725,5.511,0
哈哈泪目,2339,7.5,4.091,6.289,0
在身上,2338,6.8,3.41,3.27,0
蝙蝠时代,2333,20.4,5.838,3.164,1
接受挑战,2320,10.7,6.033,5.871,0
阿婆克烈,2317,10.3,5.066,4.567,1
喜喜喜喜,2314,13.4,3.456,3.409,0
怎么这么,2309,9.5,4.558,5.288,0
挡字幕,2301,7.5,4.707,3.183,0
lbwnb我,2298,8.2,4.753,5.446,0
已盗,2295,7.2,2.955,5.856,1
这游戏,2294,6.6,5.211,2.306,0
更新了,2290,6.8,3.808,6.61,0
